Article: Text0529.txt, Predicted Tone: positive
Article: Text0615.txt, Predicted Tone: positive
Article: Text0722.txt, Predicted Tone: positive
Article: Text0650.txt, Predicted Tone: positive
Article: Text0621.txt, Predicted Tone: positive
Article: Text0919.txt, Predicted Tone: positive
Article: Text0977.txt, Predicted Tone: positive
Article: Text0866.txt, Predicted Tone: positive
Article: Text0266.txt, Predicted Tone: positive
Article: Text0122.txt, Predicted Tone: positive
Article: Text0012.txt, Predicted Tone: positive
Article: Text0596.txt, Predicted Tone: positive
Article: Text0315.txt, Predicted Tone: positive
Article: Text0081.txt, Predicted Tone: positive
Article: Text0359.txt, Predicted Tone: positive
Article: Text0341.txt, Predicted Tone: positive
Article: Text0109.txt, Predicted Tone: positive
Article: Text0997.txt, Predicted Tone: positive
Article: Text0671.txt, Predicted Tone: positive
Article: Text0769.txt, Predicted Tone: neutral
Article: Text0547.txt, Predicted Tone: positive
Article: Text0057.txt, Predicted Tone: positive
Article: Text0833.txt, Predicted Tone: positive
Article: Text0342.txt, Predicted Tone: positive
Article: Text0020.txt, Predicted Tone: positive
Article: Text0448.txt, Predicted Tone: positive
Article: Text0514.txt, Predicted Tone: positive
Article: Text0350.txt, Predicted Tone: positive
Article: Text0062.txt, Predicted Tone: positive
Article: Text0079.txt, Predicted Tone: positive
Article: Text0741.txt, Predicted Tone: positive
Article: Text0255.txt, Predicted Tone: positive
Article: Text0857.txt, Predicted Tone: positive
Article: Text0072.txt, Predicted Tone: positive
Article: Text0978.txt, Predicted Tone: positive
Article: Text0289.txt, Predicted Tone: neutral
Article: Text0493.txt, Predicted Tone: positive
Article: Text0440.txt, Predicted Tone: positive
Article: Text0717.txt, Predicted Tone: positive
Article: Text0244.txt, Predicted Tone: positive
Article: Text0246.txt, Predicted Tone: positive
Article: Text0612.txt, Predicted Tone: positive
Article: Text0144.txt, Predicted Tone: positive
Article: Text0945.txt, Predicted Tone: positive
Article: Text0772.txt, Predicted Tone: neutral
Article: Text0283.txt, Predicted Tone: positive
Article: Text0045.txt, Predicted Tone: positive
Article: Text0102.txt, Predicted Tone: positive
Article: Text0169.txt, Predicted Tone: positive
Article: Text0847.txt, Predicted Tone: positive
Article: Text0779.txt, Predicted Tone: positive
Article: Text0430.txt, Predicted Tone: positive
Article: Text0637.txt, Predicted Tone: positive
Article: Text0704.txt, Predicted Tone: positive
Article: Text0927.txt, Predicted Tone: positive
Article: Text0256.txt, Predicted Tone: positive
Article: Text0747.txt, Predicted Tone: positive
Article: Text0219.txt, Predicted Tone: positive
Article: Text0832.txt, Predicted Tone: positive
Article: Text0084.txt, Predicted Tone: positive
Article: Text0222.txt, Predicted Tone: positive
Article: Text0629.txt, Predicted Tone: positive
Article: Text0812.txt, Predicted Tone: positive
Article: Text0937.txt, Predicted Tone: positive
Article: Text0830.txt, Predicted Tone: positive
Article: Text0681.txt, Predicted Tone: positive
Article: Text0627.txt, Predicted Tone: positive
Article: Text0400.txt, Predicted Tone: positive
Article: Text0058.txt, Predicted Tone: positive
Article: Text0138.txt, Predicted Tone: positive
Article: Text0476.txt, Predicted Tone: positive
Article: Text0534.txt, Predicted Tone: positive
Article: Text0725.txt, Predicted Tone: positive
Article: Text0489.txt, Predicted Tone: positive
Article: Text0872.txt, Predicted Tone: positive
Article: Text0789.txt, Predicted Tone: positive
Article: Text0140.txt, Predicted Tone: positive
Article: Text0197.txt, Predicted Tone: neutral
Article: Text0453.txt, Predicted Tone: positive
Article: Text0183.txt, Predicted Tone: positive
Article: Text0402.txt, Predicted Tone: positive
Article: Text0785.txt, Predicted Tone: positive
Article: Text0797.txt, Predicted Tone: positive
Article: Text0964.txt, Predicted Tone: positive
Article: Text0205.txt, Predicted Tone: positive
Article: Text0891.txt, Predicted Tone: positive
Article: Text0233.txt, Predicted Tone: positive
Article: Text0215.txt, Predicted Tone: positive
Article: Text0581.txt, Predicted Tone: positive
Article: Text0088.txt, Predicted Tone: positive
Article: Text0093.txt, Predicted Tone: positive
Article: Text0184.txt, Predicted Tone: positive
Article: Text0918.txt, Predicted Tone: positive
Article: Text0800.txt, Predicted Tone: positive
Article: Text0322.txt, Predicted Tone: positive
Article: Text0915.txt, Predicted Tone: positive
Article: Text0335.txt, Predicted Tone: positive
Article: Text0579.txt, Predicted Tone: positive
Article: Text0569.txt, Predicted Tone: positive
Article: Text0310.txt, Predicted Tone: positive
Article: Text0811.txt, Predicted Tone: positive
Article: Text0545.txt, Predicted Tone: positive
Article: Text0922.txt, Predicted Tone: positive
Article: Text0515.txt, Predicted Tone: positive
Article: Text0390.txt, Predicted Tone: positive
Article: Text0314.txt, Predicted Tone: positive
Article: Text0844.txt, Predicted Tone: positive
Article: Text0026.txt, Predicted Tone: neutral
Article: Text0521.txt, Predicted Tone: neutral
Article: Text0250.txt, Predicted Tone: positive
Article: Text0790.txt, Predicted Tone: positive
Article: Text0287.txt, Predicted Tone: positive
Article: Text0539.txt, Predicted Tone: positive
Article: Text0226.txt, Predicted Tone: positive
Article: Text0698.txt, Predicted Tone: positive
Article: Text0334.txt, Predicted Tone: positive
Article: Text0706.txt, Predicted Tone: positive
Article: Text0500.txt, Predicted Tone: positive
Article: Text0417.txt, Predicted Tone: positive
Article: Text0165.txt, Predicted Tone: positive
Article: Text0959.txt, Predicted Tone: positive
Article: Text0998.txt, Predicted Tone: positive
Article: Text0216.txt, Predicted Tone: positive
Article: Text0151.txt, Predicted Tone: positive
Article: Text0467.txt, Predicted Tone: positive
Article: Text0305.txt, Predicted Tone: positive
Article: Text0571.txt, Predicted Tone: positive
Article: Text0692.txt, Predicted Tone: positive
Article: Text0925.txt, Predicted Tone: positive
Article: Text0388.txt, Predicted Tone: positive
Article: Text0558.txt, Predicted Tone: positive
Article: Text0801.txt, Predicted Tone: positive
Article: Text0950.txt, Predicted Tone: positive
Article: Text0568.txt, Predicted Tone: positive
Article: Text0767.txt, Predicted Tone: positive
Article: Text0302.txt, Predicted Tone: neutral
Article: Text0354.txt, Predicted Tone: positive
Article: Text0304.txt, Predicted Tone: positive
Article: Text0634.txt, Predicted Tone: positive
Article: Text0600.txt, Predicted Tone: positive
Article: Text0239.txt, Predicted Tone: positive
Article: Text0452.txt, Predicted Tone: positive
Article: Text0508.txt, Predicted Tone: positive
Article: Text0823.txt, Predicted Tone: positive
Article: Text0826.txt, Predicted Tone: positive
Article: Text0886.txt, Predicted Tone: positive
Article: Text0386.txt, Predicted Tone: positive
Article: Text0543.txt, Predicted Tone: positive
Article: Text0610.txt, Predicted Tone: positive
Article: Text0553.txt, Predicted Tone: positive
Article: Text0640.txt, Predicted Tone: positive
Article: Text0194.txt, Predicted Tone: positive
Article: Text0071.txt, Predicted Tone: positive
Article: Text0743.txt, Predicted Tone: positive
Article: Text0904.txt, Predicted Tone: positive
Article: Text0981.txt, Predicted Tone: positive
Article: Text0229.txt, Predicted Tone: positive
Article: Text0987.txt, Predicted Tone: positive
Article: Text0306.txt, Predicted Tone: positive
Article: Text0541.txt, Predicted Tone: positive
Article: Text0926.txt, Predicted Tone: positive
Article: Text0030.txt, Predicted Tone: positive
Article: Text0757.txt, Predicted Tone: positive
Article: Text0653.txt, Predicted Tone: positive
Article: Text0684.txt, Predicted Tone: positive
Article: Text0714.txt, Predicted Tone: positive
Article: Text0651.txt, Predicted Tone: positive
Article: Text0213.txt, Predicted Tone: positive
Article: Text0726.txt, Predicted Tone: positive
Article: Text0880.txt, Predicted Tone: positive
Article: Text0623.txt, Predicted Tone: positive
Article: Text0022.txt, Predicted Tone: positive
Article: Text0171.txt, Predicted Tone: positive
Article: Text0196.txt, Predicted Tone: neutral
Article: Text0007.txt, Predicted Tone: positive
Article: Text0074.txt, Predicted Tone: positive
Article: Text0471.txt, Predicted Tone: positive
Article: Text0351.txt, Predicted Tone: positive
Article: Text0802.txt, Predicted Tone: neutral
Article: Text0892.txt, Predicted Tone: positive
Article: Text0027.txt, Predicted Tone: positive
Article: Text0217.txt, Predicted Tone: positive
Article: Text0908.txt, Predicted Tone: positive
Article: Text0605.txt, Predicted Tone: positive
Article: Text0458.txt, Predicted Tone: positive
Article: Text0792.txt, Predicted Tone: positive
Article: Text0503.txt, Predicted Tone: positive
Article: Text0443.txt, Predicted Tone: positive
Article: Text0852.txt, Predicted Tone: positive
Article: Text0105.txt, Predicted Tone: positive
Article: Text0991.txt, Predicted Tone: positive
Article: Text0297.txt, Predicted Tone: positive
Article: Text0794.txt, Predicted Tone: positive
Article: Text0578.txt, Predicted Tone: positive
Article: Text0893.txt, Predicted Tone: positive
Article: Text0673.txt, Predicted Tone: positive
Article: Text0693.txt, Predicted Tone: positive
Article: Text0973.txt, Predicted Tone: positive
Article: Text0281.txt, Predicted Tone: positive
Article: Text0992.txt, Predicted Tone: positive
Article: Text0678.txt, Predicted Tone: positive
Article: Text0572.txt, Predicted Tone: positive
Article: Text0889.txt, Predicted Tone: positive
Article: Text0431.txt, Predicted Tone: positive
Article: Text0913.txt, Predicted Tone: positive
Article: Text0173.txt, Predicted Tone: positive
Article: Text0299.txt, Predicted Tone: positive
Article: Text0203.txt, Predicted Tone: neutral
Article: Text0108.txt, Predicted Tone: positive
Article: Text0241.txt, Predicted Tone: positive
Article: Text0674.txt, Predicted Tone: positive
Article: Text0646.txt, Predicted Tone: positive
Article: Text0078.txt, Predicted Tone: positive
Article: Text0819.txt, Predicted Tone: positive
Article: Text0696.txt, Predicted Tone: positive
Article: Text0630.txt, Predicted Tone: positive
Article: Text0602.txt, Predicted Tone: positive
Article: Text0618.txt, Predicted Tone: positive
Article: Text0762.txt, Predicted Tone: positive
Article: Text0687.txt, Predicted Tone: positive
Article: Text0740.txt, Predicted Tone: positive
Article: Text0227.txt, Predicted Tone: positive
Article: Text0829.txt, Predicted Tone: positive
Article: Text0034.txt, Predicted Tone: positive
Article: Text0814.txt, Predicted Tone: positive
Article: Text0628.txt, Predicted Tone: positive
Article: Text0206.txt, Predicted Tone: positive
Article: Text0928.txt, Predicted Tone: positive
Article: Text0645.txt, Predicted Tone: positive
Article: Text0155.txt, Predicted Tone: positive
Article: Text0675.txt, Predicted Tone: positive
Article: Text0879.txt, Predicted Tone: positive
Article: Text0103.txt, Predicted Tone: neutral
Article: Text0016.txt, Predicted Tone: neutral
Article: Text0090.txt, Predicted Tone: positive
Article: Text0614.txt, Predicted Tone: positive
Article: Text0312.txt, Predicted Tone: positive
Article: Text0837.txt, Predicted Tone: positive
Article: Text0803.txt, Predicted Tone: positive
Article: Text0661.txt, Predicted Tone: positive
Article: Text0940.txt, Predicted Tone: positive
Article: Text0787.txt, Predicted Tone: positive
Article: Text0699.txt, Predicted Tone: positive
Article: Text0333.txt, Predicted Tone: positive
Article: Text0176.txt, Predicted Tone: positive
Article: Text0164.txt, Predicted Tone: positive
Article: Text0820.txt, Predicted Tone: positive
Article: Text0187.txt, Predicted Tone: neutral
Article: Text0593.txt, Predicted Tone: positive
Article: Text0178.txt, Predicted Tone: positive
Article: Text0413.txt, Predicted Tone: positive
Article: Text0380.txt, Predicted Tone: positive
Article: Text0150.txt, Predicted Tone: positive
Article: Text0595.txt, Predicted Tone: positive
Article: Text0120.txt, Predicted Tone: positive
Article: Text0737.txt, Predicted Tone: negative
Article: Text0330.txt, Predicted Tone: positive
Article: Text0293.txt, Predicted Tone: positive
Article: Text0279.txt, Predicted Tone: positive
Article: Text0338.txt, Predicted Tone: neutral
Article: Text0796.txt, Predicted Tone: positive
Article: Text0895.txt, Predicted Tone: positive
Article: Text0317.txt, Predicted Tone: positive
Article: Text0368.txt, Predicted Tone: positive
Article: Text0329.txt, Predicted Tone: positive
Article: Text0971.txt, Predicted Tone: positive
Article: Text0356.txt, Predicted Tone: positive
Article: Text0472.txt, Predicted Tone: positive
Article: Text0141.txt, Predicted Tone: positive
Article: Text0412.txt, Predicted Tone: positive
Article: Text0996.txt, Predicted Tone: positive
Article: Text0092.txt, Predicted Tone: positive
Article: Text0736.txt, Predicted Tone: positive
Article: Text0516.txt, Predicted Tone: neutral
Article: Text0869.txt, Predicted Tone: positive
Article: Text0464.txt, Predicted Tone: positive
Article: Text0401.txt, Predicted Tone: positive
Article: Text0323.txt, Predicted Tone: positive
Article: Text0793.txt, Predicted Tone: positive
Article: Text0149.txt, Predicted Tone: positive
Article: Text0073.txt, Predicted Tone: positive
Article: Text0576.txt, Predicted Tone: positive
Article: Text0035.txt, Predicted Tone: positive
Article: Text0770.txt, Predicted Tone: positive
Article: Text0077.txt, Predicted Tone: positive
Article: Text0465.txt, Predicted Tone: positive
Article: Text0907.txt, Predicted Tone: positive
Article: Text0179.txt, Predicted Tone: positive
Article: Text0701.txt, Predicted Tone: positive
Article: Text0697.txt, Predicted Tone: positive
Article: Text0116.txt, Predicted Tone: positive
Article: Text0679.txt, Predicted Tone: positive
Article: Text0716.txt, Predicted Tone: positive
Article: Text0652.txt, Predicted Tone: positive
Article: Text0577.txt, Predicted Tone: neutral
Article: Text0406.txt, Predicted Tone: positive
Article: Text0530.txt, Predicted Tone: positive
Article: Text0723.txt, Predicted Tone: positive
Article: Text0398.txt, Predicted Tone: positive
Article: Text0495.txt, Predicted Tone: positive
Article: Text0951.txt, Predicted Tone: positive
Article: Text0519.txt, Predicted Tone: positive
Article: Text0680.txt, Predicted Tone: positive
Article: Text0397.txt, Predicted Tone: positive
Article: Text0389.txt, Predicted Tone: positive
Article: Text0492.txt, Predicted Tone: positive
Article: Text0473.txt, Predicted Tone: positive
Article: Text0091.txt, Predicted Tone: positive
Article: Text0641.txt, Predicted Tone: positive
Article: Text0438.txt, Predicted Tone: positive
Article: Text0592.txt, Predicted Tone: positive
Article: Text0425.txt, Predicted Tone: positive
Article: Text0865.txt, Predicted Tone: positive
Article: Text0403.txt, Predicted Tone: neutral
Article: Text0619.txt, Predicted Tone: positive
Article: Text0320.txt, Predicted Tone: positive
Article: Text0532.txt, Predicted Tone: positive
Article: Text0268.txt, Predicted Tone: positive
Article: Text0017.txt, Predicted Tone: neutral
Article: Text0336.txt, Predicted Tone: positive
Article: Text0211.txt, Predicted Tone: positive
Article: Text0815.txt, Predicted Tone: positive
Article: Text0946.txt, Predicted Tone: positive
Article: Text0752.txt, Predicted Tone: positive
Article: Text0670.txt, Predicted Tone: positive
Article: Text0570.txt, Predicted Tone: positive
Article: Text0046.txt, Predicted Tone: positive
Article: Text0505.txt, Predicted Tone: positive
Article: Text0325.txt, Predicted Tone: positive
Article: Text0766.txt, Predicted Tone: positive
Article: Text0014.txt, Predicted Tone: positive
Article: Text0882.txt, Predicted Tone: positive
Article: Text0643.txt, Predicted Tone: positive
Article: Text0190.txt, Predicted Tone: positive
Article: Text0921.txt, Predicted Tone: positive
Article: Text0588.txt, Predicted Tone: positive
Article: Text0143.txt, Predicted Tone: positive
Article: Text0873.txt, Predicted Tone: positive
Article: Text0854.txt, Predicted Tone: positive
Article: Text0321.txt, Predicted Tone: positive
Article: Text0186.txt, Predicted Tone: positive
Article: Text0175.txt, Predicted Tone: positive
Article: Text0410.txt, Predicted Tone: positive
Article: Text0450.txt, Predicted Tone: positive
Article: Text0594.txt, Predicted Tone: positive
Article: Text0850.txt, Predicted Tone: positive
Article: Text0910.txt, Predicted Tone: positive
Article: Text0708.txt, Predicted Tone: positive
Article: Text0856.txt, Predicted Tone: positive
Article: Text0275.txt, Predicted Tone: positive
Article: Text0783.txt, Predicted Tone: positive
Article: Text0101.txt, Predicted Tone: positive
Article: Text0735.txt, Predicted Tone: positive
Article: Text0509.txt, Predicted Tone: positive
Article: Text0565.txt, Predicted Tone: positive
Article: Text0691.txt, Predicted Tone: positive
Article: Text0326.txt, Predicted Tone: positive
Article: Text0742.txt, Predicted Tone: positive
Article: Text0207.txt, Predicted Tone: neutral
Article: Text0954.txt, Predicted Tone: positive
Article: Text0133.txt, Predicted Tone: positive
Article: Text0369.txt, Predicted Tone: positive
Article: Text0405.txt, Predicted Tone: positive
Article: Text0086.txt, Predicted Tone: positive
Article: Text0053.txt, Predicted Tone: positive
Article: Text0554.txt, Predicted Tone: positive
Article: Text0099.txt, Predicted Tone: positive
Article: Text0875.txt, Predicted Tone: positive
